order_id,customer_id,product,quantity,unit_price,status,order_date,region,sales_rep
ORD-01000,CUST-2095,Webcam HD,14,933.98,completed,2024-02-20,Central,REP-165
ORD-01001,CUST-9947,Noise Cancelling Headphones,8,857.23,pending,2025-02-13,Central,REP-147
ORD-01002,CUST-5397,Smart Watch,13,962.24,pending,26/02/2025,North,REP-184
ORD-01003,CUST-3222,Ergonomic Chair,8,332.91,pending,2025/12/10,Central,REP-162
ORD-01004,CUST-3436,Laptop Pro 15,7,926.39,refunded,02-24-2024,East,REP-108
ORD-01005,CUST-7986,4K Monitor,16,166.81,completed,2025/02/20,North,REP-113
ORD-01006,CUST-4794,Mechanical Keyboard,14,345.83,pending,07-01-2024,North,REP-185
ORD-01007,CUST-8023,Wireless Mouse,9,781.48,completed,2024/05/17,Central,REP-192
ORD-01008,CUST-7174,External SSD 1TB,1,263.1,completed,2024/11/16,Central,REP-172
ORD-01009,CUST-4888,Laptop Pro 15,8,43.05,completed,2025-07-27,West,REP-133
ORD-01010,CUST-4594,LED Desk Lamp,1,882.76,pending,14/02/2025,South,REP-133
ORD-01011,CUST-6112,Webcam HD,7,55.59,completed,2024/03/31,North,REP-111
ORD-01012,CUST-5819,Webcam HD,1,309.03,pending,03/12/2024,South,REP-182
ORD-01013,CUST-7845,Portable Charger,8,911.79,refunded,06-22-2025,South,REP-145
ORD-01014,CUST-4606,Wireless Mouse,4,78.02,completed,2024/12/06,South,REP-130
ORD-01014,CUST-5799,Ergonomic Chair,3,798.48,pending,19/10/2025,South,REP-153
ORD-01016,CUST-3607,Graphics Card RTX,13,132.76,completed,2024-08-02,South,REP-142
ORD-01017,CUST-7473,4K Monitor,2,201.87,completed,06-18-2024,North,REP-161
ORD-01018,CUST-7786,Wireless Mouse,2,982.9,completed,03/02/2024,North,REP-168
ORD-01019,CUST-9427,Smart Watch,16,904.65,completed,06/07/2025,East,REP-190
ORD-01020,CUST-9572,Webcam HD,12,938.56,completed,not-a-date,South,REP-129
ORD-01021,CUST-9395,Smart Watch,18,25.1,cancelled,2024-07-14,Central,REP-147
ORD-01022,CUST-7150,External SSD 1TB,16,737.96,completed,08-20-2024,South,REP-165
ORD-01023,CUST-5294,4K Monitor,4,769.41,pending,02/12/2024,South,REP-140
ORD-01024,CUST-3638,Tablet 10in,13,412.88,cancelled,09-15-2025,West,REP-128
ORD-01025,CUST-8367,4K Monitor,19,762.43,pending,02-12-2025,South,REP-182
ORD-01026,CUST-3555,Standing Desk,16,43.18,completed,2025-01-14,West,REP-190
ORD-01027,CUST-9781,Webcam HD,9,276.28,cancelled,2024/12/02,Central,REP-193
ORD-01028,CUST-8063,Standing Desk,12,159.91,completed,14/05/2024,North,REP-113
ORD-01029,CUST-6757,Noise Cancelling Headphones,6,810.4,completed,2025/01/16,South,REP-130
ORD-01030,CUST-3128,Tablet 10in,18,881.21,pending,07-25-2024,North,REP-122
ORD-01031,CUST-3053,External SSD 1TB,5,97.52,completed,2024/02/18,North,REP-198
ORD-01032,CUST-1073,External SSD 1TB,19,236.35,pending,2025/08/12,South,REP-109
ORD-01033,CUST-3262,4K Monitor,13,657.45,completed,2025-04-15,Central,REP-123
ORD-01034,CUST-3646,Wireless Mouse,15,793.59,completed,2025-09-17,South,REP-138
ORD-01035,CUST-1523,Smart Watch,3,126.09,processing,05/01/2025,North,REP-161
ORD-01036,CUST-4034,Webcam HD,18,188.06,pending,2025-12-23,West,REP-119
ORD-01037,CUST-2488,LED Desk Lamp,7,743.28,processing,2025/03/29,East,REP-172
