order_id,customer_id,product,quantity,unit_price,status,order_date,region,sales_rep
ORD-06000,CUST-5646,Graphics Card RTX,2,494.23,completed,2025/04/16,East,REP-125
ORD-06001,CUST-5281,Noise Cancelling Headphones,15,404.61,refunded,12/08/2024,East,REP-177
ORD-06002,CUST-9659,Smart Watch,10,540.38,completed,05-18-2024,South,REP-154
ORD-06003,CUST-1481,USB-C Hub,16,34.72,pending,01/09/2025,South,REP-170
ORD-06004,CUST-9006,Standing Desk,6,562.77,pending,2024/01/14,North,REP-109
ORD-06005,CUST-9637,Smart Watch,13,396.45,pending,11-02-2025,East,REP-185
ORD-06006,CUST-6052,External SSD 1TB,3,572.27,completed,08-27-2025,West,REP-173
ORD-06007,CUST-7611,Laptop Pro 15,9,821.61,completed,10/04/2025,East,REP-192
ORD-06008,CUST-2249,Graphics Card RTX,18,185.88,cancelled,06-25-2024,East,REP-154
ORD-06009,CUST-7988,Webcam HD,7,671.55,completed,2025-07-17,North,REP-159
ORD-06010,CUST-7028,External SSD 1TB,20,358.62,refunded,2025-12-09,North,REP-176
ORD-06011,CUST-6576,4K Monitor,8,314.64,completed,2025-04-28,South,REP-149
ORD-06012,CUST-7049,Tablet 10in,16,946.01,completed,2024-02-15,Central,REP-137
ORD-06013,CUST-9308,Webcam HD,3,909.39,completed,2025-04-13,Central,REP-145
ORD-06014,CUST-5904,Webcam HD,19,375.23,completed,2025/01/08,North,REP-190
ORD-06015,CUST-9741,Laptop Pro 15,15,774.44,completed,2024-05-22,Central,REP-184
ORD-06016,CUST-1582,Smart Watch,6,901.17,N/A,2024/10/24,Central,REP-194
ORD-06017,CUST-9160,Standing Desk,2,264.17,completed,05-13-2025,North,REP-159
ORD-06018,CUST-7787,4K Monitor,18,978.46,pending,2025/06/27,Central,REP-192
ORD-06019,CUST-8393,Noise Cancelling Headphones,10,952.04,completed,14/05/2025,North,REP-152
ORD-06020,CUST-4044,USB-C Hub,11,541.16,completed,20/07/2025,Central,REP-127
ORD-06021,CUST-8854,Portable Charger,11,551.12,refunded,11/06/2025,West,REP-158
ORD-06022,CUST-9637,Ergonomic Chair,1,650.33,pending,2024/10/04,East,REP-126
ORD-06023,CUST-7637,Ergonomic Chair,17,876.46,pending,23/07/2025,East,REP-117
ORD-06024,CUST-7586,Portable Charger,6,960.01,completed,2025-12-09,East,REP-149
ORD-06024,CUST-4962,Tablet 10in,13,424.53,pending,2024-05-10,Central,REP-111
ORD-06026,CUST-7726,USB-C Hub,,552.07,completed,2025/05/28,South,REP-131
ORD-06027,CUST-9663,USB-C Hub,5,191.29,completed,2025/05/07,Central,REP-103
ORD-06028,CUST-8133,External SSD 1TB,,498.83,refunded,02-23-2024,South,REP-143
ORD-06029,CUST-5402,Webcam HD,3,812.09,COMPLETED,05-31-2025,North,REP-136
ORD-06030,CUST-4448,Webcam HD,7,742.6,completed,05/10/2025,East,REP-190
ORD-06031,CUST-9388,LED Desk Lamp,7,854.87,completed,2025/11/24,South,REP-193
ORD-06032,CUST-2674,Laptop Pro 15,16,500.26,completed,06-30-2024,North,REP-146
ORD-06033,CUST-4536,Smart Watch,4,803.77,processing,07/10/2025,South,REP-137
ORD-06034,CUST-9287,LED Desk Lamp,20,769.86,cancelled,2024/05/02,Central,REP-151
ORD-06035,CUST-9087,4K Monitor,9,877.36,pending,2024-03-31,South,REP-150
ORD-06036,CUST-8266,Webcam HD,13,229.19,processing,2024/07/15,South,REP-193
ORD-06037,CUST-2251,4K Monitor,1,980.83,pending,2025/03/16,Central,REP-174
ORD-06038,CUST-1820,Graphics Card RTX,10,336.41,completed,01/04/2025,South,REP-137
ORD-06039,CUST-6611,External SSD 1TB,6,38.78,completed,not-a-date,North,REP-117
ORD-06040,CUST-2843,4K Monitor,2,766.94,completed,2024/05/28,East,REP-177
ORD-06041,CUST-9692,Graphics Card RTX,1,83.01,completed,23/08/2025,Central,REP-187
ORD-06042,CUST-2674,Mechanical Keyboard,8,758.44,pending,27/11/2025,Central,REP-194
ORD-06043,CUST-2190,Wireless Mouse,,433.73,pending,2025/01/24,North,REP-192
ORD-06044,CUST-8119,Graphics Card RTX,3,553.65,cancelled,2025-07-13,East,REP-120
ORD-06045,CUST-4483,LED Desk Lamp,16,971.53,completed,24/06/2025,South,REP-115
ORD-06046,CUST-2424,Ergonomic Chair,12,95.34,completed,2024/09/01,West,REP-122
ORD-06047,CUST-8556,Ergonomic Chair,12,454.05,completed,2025-05-24,East,REP-164
ORD-06048,CUST-5187,Mechanical Keyboard,5,13.61,refunded,10/01/2024,Central,REP-191
ORD-06049,CUST-4638,Wireless Mouse,12,35.57,completed,2024-01-25,South,REP-107
ORD-06050,CUST-5243,Mechanical Keyboard,19,447.16,completed,2024/01/13,Central,REP-143
ORD-06051,CUST-6834,Ergonomic Chair,13,338.82,pending,07/12/2024,West,REP-146
ORD-06052,CUST-9493,Webcam HD,15,191.76,completed,2024-11-15,North,REP-172
ORD-06053,CUST-8111,External SSD 1TB,11,829.65,pending,04-15-2024,East,REP-118
ORD-06054,CUST-8243,Standing Desk,19,729.87,completed,14/04/2025,West,REP-141
ORD-06055,CUST-6792,Wireless Mouse,6,758.02,refunded,2025/03/23,Central,REP-111
ORD-06056,CUST-9008,Laptop Pro 15,18,614.57,cancelled,05-09-2024,Central,REP-105
ORD-06057,CUST-2668,External SSD 1TB,20,738.56,completed,2024-01-23,East,REP-120
ORD-06058,CUST-8727,External SSD 1TB,1,939.29,cancelled,05-28-2025,Central,REP-131
ORD-06059,CUST-4450,Graphics Card RTX,9,282.73,completed,2024/04/14,South,REP-199
ORD-06060,CUST-9671,Portable Charger,3,542.31,refunded,2024/08/14,Central,REP-188
ORD-06061,CUST-5453,Laptop Pro 15,13,355.74,completed,2024-10-02,North,REP-186
ORD-06062,CUST-5664,Tablet 10in,2,980.56,completed,05-31-2024,South,REP-169
ORD-06063,CUST-6943,USB-C Hub,11,437.58,pending,27/03/2024,East,REP-128
ORD-06064,CUST-1595,Tablet 10in,12,432.13,pending,13/07/2025,West,REP-145
ORD-06065,CUST-8062,Graphics Card RTX,4,460.0,completed,15/07/2024,East,REP-179
ORD-06066,CUST-5808,Mechanical Keyboard,,38.24,pending,03-15-2024,North,REP-106
ORD-06067,CUST-6146,Wireless Mouse,19,607.42,refunded,17/02/2025,Central,REP-180
ORD-06068,CUST-1733,Tablet 10in,13,741.49,completed,2025/06/13,East,REP-107
ORD-06069,CUST-1387,Ergonomic Chair,4,893.4,completed,2024/06/10,East,REP-149
ORD-06070,CUST-1172,LED Desk Lamp,2,925.96,cancelled,16/09/2025,East,REP-140
ORD-06071,CUST-9053,External SSD 1TB,16,53.85,completed,2024/03/25,Central,REP-195
ORD-06072,CUST-7075,Wireless Mouse,8,438.67,pending,2025-09-17,North,REP-164
ORD-06073,CUST-6643,Graphics Card RTX,19,148.56,refunded,04-05-2024,Central,REP-149
ORD-06074,CUST-6110,4K Monitor,10,223.82,pending,2025-05-01,East,REP-156
ORD-06075,CUST-8757,Noise Cancelling Headphones,6,343.79,pending,2024/03/07,North,REP-102
ORD-06076,CUST-5357,Mechanical Keyboard,2,-99.07,completed,2025/06/28,South,REP-109
ORD-06077,CUST-2440,Ergonomic Chair,13,264.61,completed,03-21-2025,South,REP-115
ORD-06078,CUST-2809,Graphics Card RTX,11,76.29,completed,2024-05-07,West,REP-171
ORD-06079,CUST-1012,Webcam HD,4,175.61,pending,12-26-2025,Central,REP-155
